Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62,2018
"Bahamas, The",BHS,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,667500000.668,683800000.684,807500000.808,917800000.918,1123100001.12,1119600001.12,1111000001.11,1224000001.22,1285000000.57,1492400000.0,1564000000.0,1590400000.0,1586000000.0,1695300000.0,1783600000.0,1583400000.0,1606200000.0,1651200000.0,1709100000.0,1767700000.0,1851500000.0,1887900000.0,1895900000.0,2207400000.0,2438020000.0,2221300000.0,2483859056.45,2481190000.0,2721540000.0,3060036585.26,3139620000.0,3401214138.25,3489746562.6,3061537000.0,3196008000.0,3327147000.0,3675394600.0,3626154000.0,3558745982.95,3416036338.57,3374172978.13,3401214138.25,,
Bosnia and Herzegovina,BIH,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124011275.03,1295465925.77,1579790181.39,1630974329.54,1633872801.01,2198490326.47,2950216686.35,3544270729.86,4521180072.91,4287589229.73,5168278490.91,4430602468.25,5094442710.0,5980702786.35,5566123838.72,6133467167.15,6307727636.13,5606002990.52,5944690419.75,4287589229.73,,
Belarus,BLR,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155000000.0,2761400000.0,5269100000.0,6698100000.0,7837500000.0,7097400000.0,6399700000.0,7047800000.0,7833200000.0,8604200000.0,10881500000.0,14976900000.0,17536300000.0,21569300000.0,26851400000.0,36217200000.0,24310300000.0,29301700000.0,46537100000.0,51886000000.0,44046100000.0,43302900000.0,32797800000.0,29917400000.0,26851400000.0,,
Belize,BLZ,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,128600000.0,128250000.0,135400000.0,158800000.0,193850000.0,210250000.0,244550000.0,248800000.0,283200000.0,282500000.0,277611000.0,297358000.0,309145000.0,331240000.0,326610000.0,399464387.61,423702769.096,425353573.782,479150897.829,515746792.021,528057030.857,615000628.891,775964114.001,816351071.601,866565798.004,728299880.172,829575933.439,943767027.439,1034414459.16,1056127152.13,1083001281.51,1033644191.98,968526944.164,816351071.601,,
Bermuda,BMU,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617760000.0,1630938333.21,1488205917.96,1355406014.63,1416064408.86,1470443894.71,1399876565.11,1391041517.64,1351568514.99,1316095868.3,1353257093.29,1630938333.21,,
Bolivia,BOL,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,623400000.0,695100000.0,703500000.0,865000000.0,1030100000.0,1005400000.0,910000000.0,858100000.0,818000000.0,719900000.0,666600000.0,650200000.0,670800000.0,866800000.0,976700000.0,917300000.0,773000000.0,896900000.0,1181100000.0,1233800000.0,1312930000.0,1413840000.0,1355200000.0,1310600000.0,1470024096.03,1520698269.97,1555312119.06,1961205035.63,2562015186.2,3279393006.38,4349355086.5,4954735466.57,7023072797.03,5429960000.0,6836994924.13,9122873526.42,12257994961.9,12752655397.2,14007156664.5,9916225297.22,8216837967.06,4954735466.57,,
Brazil,BRA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,9552000000.0,10979000000.0,13130000000.0,13823000000.0,16719000000.0,21869000000.0,25541000000.0,21982000000.0,23622000000.0,28949000000.0,27720000000.0,24164000000.0,28162000000.0,36052000000.0,37507000000.0,35170000000.0,34938000000.0,39881000000.0,43595000000.0,49010000000.0,52641000000.0,52506000000.0,59178000000.0,58767000000.0,54563000000.0,63716723041.0,66517202823.9,68943055575.7,82570023303.6,1.07984756805e+11,1.33005199276e+11,1.56303207938e+11,1.84603323408e+11,2.28392969446e+11,1.807230901e+11,2.32060095598e+11,2.92549643821e+11,2.81259268835e+11,2.79587813725e+11,2.64063098515e+11,2.23869590907e+11,2.1775319628e+11,1.84603323408e+11,,
Barbados,BRB,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,93699999.9532,103095072.467,117369626.825,138626558.272,177525088.915,205957144.714,197100000.0,248200000.0,313750000.0,421150000.0,574100000.0,547150000.0,619500000.0,681850000.0,797750000.0,795550000.0,751950000.0,686200000.0,778350000.0,888750000.0,872850000.0,824100000.0,810762785.0,877377527.2,997359597.0,1065458604.2,1167676183.4,1193482741.27,1229917965.5,1234894440.68,1294570763.0,1261435145.15,1216198660.65,1339948670.12,1415739093.26,1815066631.01,2113510169.87,2226169464.72,2312046053.68,1883867430.21,2068867285.24,2154644367.91,2103409846.04,2320126337.87,,,,2226169464.72,,
Brunei Darussalam,BRN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4125731309.13,4135579443.15,4860307891.41,5613073006.1,6857071420.58,8371474050.79,8504938837.01,11564949952.7,8086792762.53,9261650665.53,12877940242.2,13364678877.7,12328064821.2,11668217281.5,6773193238.17,5650114185.21,8504938837.01,,
Bhutan,BTN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363738082.546,636741509.769,653637755.394,574268848.326,590485064.365,745573125.523,729034440.586,667794405.571,659145142.494,706869367.502,642240529.826,636741509.769,,
Botswana,BWA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,172817673.044,216545054.385,243004514.757,273861116.037,503308767.008,645372962.328,498363686.575,563098043.258,753287027.726,784905214.982,803914011.003,952508078.895,1711733935.43,1579251744.86,1930134172.2,2004874227.29,2081020071.99,1933142945.17,1913477709.11,2060458261.62,2420562680.51,2380511682.52,3030020844.96,2315517714.65,2989367744.9,2999881513.8,2671093199.9,2836790168.83,3667388019.87,4439949305.0,5269906559.87,5297061556.05,6011239817.3,5442835027.96,4178002818.13,5614852785.2,7668382388.25,7690281560.28,9167951874.67,9868956600.5,7649609344.79,7770370719.39,6011239817.3,,
Central African Republic,CAF,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,127861608.906,142978781.79,157243049.319,201027496.09,169417266.82,165958497.6,159064294.032,149211592.601,177837940.43,185489185.546,196734798.347,195989085.419,213659017.992,219613415.489,176110539.83,160994786.688,181718926.6,179033067.944,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,6935104204.23,7178117325.11,7403822268.4,8059572362.38,9358848109.88,9955964208.68,11636631699.6,13092680457.7,14963426052.1,16486673051.2,19207896864.1,20817575551.6,23965946774.1,29733000547.1,38440249585.9,38092728387.7,44713483712.3,47885251903.3,53410993784.8,63795054481.5,74976797707.6,80973478178.0,79104531786.8,85022649589.6,99410584680.3,1.00630214642e+11,1.02041841834e+11,1.12337674244e+11,1.32392897866e+11,1.4158154045e+11,1.48951657623e+11,1.48573324586e+11,1.54999074317e+11,1.68101231552e+11,1.89390935319e+11,2.18167034827e+11,2.33274147674e+11,2.48953304978e+11,2.52994299298e+11,2.83244373066e+11,3.28291427566e+11,3.09767379618e+11,3.03539446398e+11,3.291349189e+11,3.81825717831e+11,4.30736537026e+11,4.6487942826e+11,5.01610781832e+11,5.35750740804e+11,3.91705508316e+11,4.69263407684e+11,5.46624482078e+11,5.51179609954e+11,5.55776591715e+11,5.66387977135e+11,4.90767623833e+11,4.74586863263e+11,5.01610781832e+11,,
Central Europe and the Baltics,CEB,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82142108548.4,95444954694.0,1.2846561188e+11,1.35347718017e+11,1.40974120255e+11,1.5478284333e+11,1.48346133576e+11,1.68380604223e+11,1.86137981612e+11,2.05190346593e+11,2.62939535895e+11,3.58675973109e+11,4.18431632244e+11,5.07389575639e+11,6.43823199661e+11,7.71719953423e+11,6.06843538526e+11,6.88031060476e+11,8.26183363896e+11,8.02116080534e+11,8.63095822867e+11,9.09616291918e+11,8.05719273765e+11,8.3512596306e+11,6.43823199661e+11,,
Switzerland,CHE,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,25280872269.1,34272938443.2,39784054864.5,48595288834.5,46920063888.0,43052232463.2,42396852700.4,45048197993.7,46120567736.7,60829388063.3,70821881828.3,79277660083.4,81700444702.5,97032927612.0,94173420347.6,1.01111041315e+11,97026382575.5,1.05376537489e+11,1.23319579157e+11,1.21950065129e+11,1.20463029155e+11,1.20631324733e+11,1.21554620876e+11,1.4063588309e+11,1.40208635252e+11,1.47290092617e+11,1.69650490044e+11,2.03293447628e+11,2.1904649126e+11,2.42418884536e+11,2.91327678222e+11,3.47870072595e+11,3.08790997826e+11,3.72127504216e+11,4.5355137213e+11,4.41763839624e+11,4.87797417997e+11,4.50342339679e+11,4.16320392778e+11,4.34799659798e+11,2.91327678222e+11,,
Channel Islands,CHI,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,1838000000.0,2413000000.0,2603000000.0,2941000000.0,4620000000.0,5968000000.0,5008000000.0,4642000000.0,4628000000.0,4314000000.0,4496620000.0,5232260000.0,6348000000.0,8144000000.0,9612650000.0,10220800000.0,11068200000.0,12367400000.0,11713400000.0,14444000000.0,19357900000.0,20214723966.9,21762015598.2,20274816280.2,21031264413.7,23293153568.8,22410169061.3,22565348603.4,26728130243.0,39052608176.4,48965742072.5,67117042788.3,77583639413.0,75124029616.6,63904282434.2,81955505335.3,94349665630.6,90332359682.7,88886685222.7,85779245874.7,71819583921.0,70097616546.8,77583639413.0,,
China,CHN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,23637000000.0,23186000000.0,26716000000.0,28163000000.0,29583000000.0,39171000000.0,45912000000.0,47823000000.0,57374000000.0,65898000000.0,78817000000.0,86852000000.0,1.19181e+11,1.4723999e+11,1.71678e+11,1.40533e+11,1.41364e+11,1.49884e+11,1.90039384e+11,2.08572e+11,2.47626456545e+11,4.45976206261e+11,6.0477471308e+11,7.73339005397e+11,9.9173138776e+11,1.25705262543e+12,1.49531700122e+12,1.24972353171e+12,1.60394417144e+12,2.00885244849e+12,2.17509201238e+12,2.3555947378e+12,2.46290203066e+12,2.36015245231e+12,2.19792246913e+12,1.25705262543e+12,,
Cote d'Ivoire,CIV,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8523437976.36,9315355005.71,9594528686.2,11406633906.6,12339750810.1,12593261961.2,13651787775.5,13108218162.5,12984343518.2,13870429496.5,12496385721.1,,9594528686.2,,
Cameroon,CMR,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,970857637.167,1302292790.87,1705609230.59,2058457568.91,1800122861.78,1785206444.44,1807455755.4,2003608294.71,2125013809.81,2544137974.42,2100043984.52,2300131263.89,2329531868.58,2507522199.73,2363430242.87,2341515673.11,1898661895.75,1784999312.42,2040294924.62,2497657961.12,2494957537.57,2407291343.5,2177775199.55,2666729592.24,2822720607.5,2984487813.74,3128038744.36,3816998831.85,4235154350.69,4865175212.23,6326013214.67,7325271330.04,5313155102.38,5607766722.51,7510999188.45,7385311641.35,8025633210.0,8590678690.82,6732950065.04,,6326013214.67,,
"Congo, Dem. Rep.",COD,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2746000000.0,3137600000.0,6540300000.0,7698000000.0,5020900000.0,8866500000.0,10211288137.4,9031062349.93,11909060432.7,12635997429.6,10458122394.7,10107715762.8,6540300000.0,,
"Congo, Rep.",COG,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,376967830.181,565405558.128,1021229903.56,1156719242.66,1186106462.67,1153928606.67,1348676072.8,1219439494.17,775756339.244,973851559.562,935469754.039,1255766701.5,1487889796.71,1206989227.73,1244843999.95,1175296540.2,1025927922.54,1374020159.96,1746722226.54,1761180299.48,1485421415.41,1706117396.39,2628296850.9,2199123217.2,2453603936.39,2830693584.9,3629860193.26,4965797528.35,6331731924.45,5861115566.65,8276155659.14,6244442199.47,9001562369.77,11509118450.8,10276991429.1,9503628540.44,9508523099.39,,,5861115566.65,,
Colombia,COL,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,762999999.995,849999999.995,979999999.995,971813119.992,1204395380.0,1543891670.0,1860105199.98,2114381700.0,2769685360.0,3389950240.0,3935020000.0,4545980000.0,5328289840.0,4306095160.0,4448865910.0,3814000000.0,5200000000.0,4505000000.0,6439000000.0,6827000000.0,6751000000.0,7322000000.0,8679000000.0,9100000000.0,9246100000.0,9948400000.0,10600937157.3,12269610830.2,13140661010.1,14211030620.6,13400195951.8,13940404311.9,15805109983.7,15062583135.2,14246681388.6,15733414821.1,19647838536.4,24704011324.9,28917459211.5,34531399566.9,43059178211.5,38572167199.3,45882895935.3,63905620972.6,68048891236.6,67304673552.3,64054752194.3,45686731060.3,41394055386.8,34531399566.9,,
Comoros,COM,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,,,,13427820.9513,17521123.5214,22139145.5235,22111840.4829,9694407.31218,19906105.1664,27123648.4853,26040313.5482,38328571.4603,35594986.8409,34797302.8535,49059831.0364,48022294.8997,52638051.0147,39623070.8874,45825230.2661,,,,,,,,60015995.8208,56949050.0487,57102945.6527,60124648.461,71485549.3879,74129610.3361,77701176.8341,87432876.568,99642844.5384,89546612.9444,,,,,71485549.3879,,
Cabo Verde,CPV,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,,,,,,,,,,,,,,,,,,2199932.98385,7754765.7446,12318008.1749,19193568.1265,23649407.1909,31427264.4104,36784115.8764,30660507.4938,30935811.8555,36256822.2771,46835037.2014,43101397.9949,49882990.6266,56837844.0127,48139199.4398,50698802.148,49144936.2477,61175467.3396,83482130.465,101395705.125,134545272.422,113053016.867,124121501.602,140694347.016,160165862.557,186587323.923,245798014.024,285599361.459,353889002.673,472148725.837,565704702.598,710098097.188,562472249.89,629610621.579,782349340.482,771205731.245,841273647.317,893905109.43,659985468.237,734845238.791,565704702.598,,
