Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62,2018
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698328.47,3467819148.94,3645744680.85,3735106382.98,3905585106.38,3651861702.13,3052393617.02,3392021010.64,3702393617.02,3863563829.79,4229787234.04,4616223404.26,4751063829.79,5200265957.45,5567553457.45,5849467819.15,6101861436.17,6349202393.62,6183776595.74,6621010372.34,9062906914.89,8976207712.77,9632155053.19,11074822074.5,13150166755.3,15968726861.7,18505053191.5,21730000000.0,25710877659.6,22938218085.1,25713271276.6,28776595744.7,30749308510.6,32539547872.3,33387712766.0,31125851063.8,32179069148.9,21730000000.0,,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.569,190098039.216,212254901.961,237745098.039,266666666.667,300392156.863,340000000.0,390196078.431,444901960.784,528137254.902,538423153.693,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,4961119000.0,5353524000.0,6019972000.0,6327552000.0,6516651000.0,6957996000.0,6949317000.0,7094413000.0,7706222000.0,7965588000.0,8318996000.0,8247000000.0,7820000000.0,7910000000.0,7890000000.0,10720500000.0,10677200000.0,10843800000.0,11240000000.0,11261800000.0,8318996000.0,,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469.14,1866572953.74,2786045321.64,3671816504.24,4116699437.4,4685729738.56,5505984455.96,5748990666.18,6651226179.02,8370020196.19,10022840634.9,11225138297.2,12866524918.2,15776422673.2,19112739664.5,17613836210.0,17176781336.8,18644723861.0,17226849297.1,18178503835.4,18558343508.3,16209702863.6,16910277133.6,15776422673.2,,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000.0,17420000000.0,17120370370.4,16286280991.7,14932192010.7,13972630803.6,14756861538.5,14128412417.2,15222014828.3,12138485328.6,12736856828.0,12354820143.9,14594925393.0,17825436034.5,23141587717.8,30210091836.8,36961821893.7,45275747860.6,60763483146.1,49209523809.5,57222490768.7,61757788944.7,65685102554.9,75527984234.2,78813839984.4,56454734396.6,47407217531.2,45275747860.6,,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28071888.5622,29964370.7126,31856922.8615,33749405.0119,36193826.1235,40069930.0699,44405594.4056,47379310.3448,44910179.6407,47305389.2216,53233532.9341,59207317.0732,66062500.0,78343558.2822,103216374.269,118066298.343,96905829.5964,117650000.0,136300000.0,151800000.0,194750000.0,192900000.0,179250000.0,189000000.0,210900000.0,209150000.0,227850000.0,276550000.0,314900000.0,363150000.0,413050000.0,444720750.0,518239100.0,559858250.0,580863700.0,620140400.0,641383800.0,654314350.0,688992450.0,732732350.0,832072450.0,871860600.0,932551850.0,990374050.0,1057845500.0,1114222550.0,1217467600.0,1290573400.0,1368625150.0,1336957250.0,1397113450.0,1486712300.0,1573618750.0,1613705850.0,1706497950.0,1742545900.0,1741100000.0,1290573400.0,,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.0802,89249986.7007,94149985.9706,96366652.3069,107566650.638,114339048.963,134173373.783,155102984.622,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634899968.0,1679900032.0,1820359936.0,1867160064.0,2030749952.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,5414299000.0,5895048000.0,6109928000.0,5806378000.0,5744414000.0,5550771000.0,5537537000.0,5573710000.0,,,,5895048000.0,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,563110051.921,612518906.826,669722541.278,721142957.311,812543072.505,908874537.037,994044553.872,1084059814.81,908874537.037,964615698.653,1017171717.17,1095454545.45,1257615644.98,1263018490.75,2100249875.06,2404697651.17,2732083958.02,3227436281.86,3758220889.56,4421343606.18,4537487842.58,5891606676.18,5594118400.17,5422656261.71,6169481549.37,5377277406.72,3959379487.61,4347956298.51,4597615562.67,4715978868.22,4867582620.21,5343274311.57,5643893347.01,5734676560.92,5981244886.92,6715220507.05,7396966657.47,7925673448.41,8497545598.08,8285075872.27,8397912509.1,8141537937.61,7905485216.18,8082364868.39,8773451738.91,9549077869.11,11451869164.7,13120159975.5,16674324634.2,17339992165.2,19649631308.2,23963033443.9,27084497539.8,30659338929.1,32996187988.4,33000198263.4,33806395513.7,13120159975.5,,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569912.5,15236854859.5,19926293839.0,23021477292.2,21211892260.0,21790035117.2,27062716577.9,30591834054.0,33875881876.4,37458898243.9,42327600098.2,49204456700.5,58539008786.4,79279057730.8,1.05136007529e+11,1.23709376568e+11,1.52678020453e+11,1.76171284312e+11,2.0080089187e+11,2.24969488835e+11,2.35024598983e+11,2.63561088977e+11,2.81682304161e+11,2.03304515491e+11,2.09023912697e+11,2.22942790435e+11,2.6813722473e+11,2.94084112393e+11,3.30397381998e+11,4.2559531e+11,4.61951782e+11,6.0286e+11,4.0059925e+11,4.3779857764e+11,5.58111997497e+11,7.85643456467e+11,8.50425828276e+11,8.83199443414e+11,8.63723395088e+11,5.99388879705e+11,6.55421153321e+11,5.59372502338e+11,5.0796274182e+11,5.58320116997e+11,6.69316239316e+11,8.91629970424e+11,1.10764032547e+12,1.3970843819e+12,1.6958245174e+12,1.66701960588e+12,2.2088716462e+12,2.61620157819e+12,2.46518867442e+12,2.4728069199e+12,2.45599320017e+12,1.80365264961e+12,1.79618658641e+12,1.3970843819e+12,,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023318251.88,2007109829.46,1950900000.0,2046189031.97,2151295182.22,2261969870.23,2411872918.01,2549296474.92,2874459304.93,3012081738.18,3121500000.0,3116650000.0,3169600000.0,3274850000.0,3514350000.0,3897300000.0,4246600000.0,4523750000.0,4607300000.0,4434050000.0,4461650000.0,4660900000.0,4656350000.0,4612500000.0,4608350000.0,4584150000.0,4529050000.0,4523750000.0,,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114040245.655,132758395.4,139030445.577,160819286.554,161211289.69,179080099.307,197523179.242,270818555.824,433092003.579,1073577085.64,1168304305.66,1423061356.65,1732721160.94,1941600703.61,2803780005.52,4928824957.97,4366213849.58,4264252336.45,3844723142.45,3782523088.46,3523612563.07,2358592817.12,2754463437.8,2690717551.18,2985467979.29,3520551724.14,3701667052.56,4183548189.07,4105706151.75,4087337959.93,4734020036.69,5115602836.88,5197332974.14,4051147227.53,4600000000.0,6001153306.26,5601090584.36,5843329107.56,6557333084.61,7872333215.0,9531402847.87,11470703002.1,12247694247.2,14393099068.6,10732366286.3,13707370737.1,18525319977.7,19048495518.6,18093829923.3,17098342541.4,12930394937.8,11400653732.0,12247694247.2,,
